"FMTNAME","START","LABEL",
"DRDIFDCD","11541400.0","MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)",
"DRDIFDCD","11541500.0","MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE",
"DRDIFDCD","11541510.0","MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE",
"DRDIFDCD","11542000.0","CARRY-OUT MILK SHAKE, NS AS TO FLAVOR",
"DRDIFDCD","11542100.0","CARRY-OUT MILK SHAKE, CHOCOLATE",
"DRDIFDCD","11542200.0","CARRY-OUT MILK SHAKE, NOT CHOCOLATE",
"DRDIFDCD","11551050.0","MILK FRUIT DRINK (INCL LICUADO)",
"DRDIFDCD","11552200.0","ORANGE JULIUS",
"DRDIFDCD","11553000.0","FRUIT SMOOTHIE DRINK, W/ FRUIT AND DAIRY PRODUCTS",
"DRDIFDCD","11553100.0","FRUIT SMOOTHIE DRINK, NFS",
"DRDIFDCD","11560000.0","CHOC-FLAVORED DRINK, WHEY-&MILK-BASED(INCL YOO-HOO)",
"DRDIFDCD","11560020.0","MILK DRINK, WHEY&MILK-BASE, NOT CHOC (INCL YOO-HOO)",
"DRDIFDCD","11561010.0","CAFE CON LECHE PREPARED W/ SUGAR",
"DRDIFDCD","11611000.0","INSTANT BREAKFAST, FLUID, CANNED",
"DRDIFDCD","11612000.0","INSTANT BREAKFAST, POWDER, MILK ADDED",
"DRDIFDCD","11613000.0","INSTANT BFAST,PWDR,SWT W/ LO CAL SWT, MILK ADDED",
"DRDIFDCD","11621000.0","DIET BEVERAGE, LIQUID, CANNED",
"DRDIFDCD","11622010.0","DIET BEVERAGE,PWDR,RECONST W/SKIM (INCL CARNATION)",
"DRDIFDCD","11623000.0","MEAL SUPPLEMENT / REPLACEMENT,PREPARED,RTD",
"DRDIFDCD","11631000.0","HIGH CALORIE BEV, CANNED OR POWDERED, RECONSTITUTED",
"DRDIFDCD","11641000.0","MEAL REPLACEMENT, MILK BASED, HIGH PROTEIN, LIQUID",
"DRDIFDCD","11651010.0","MEAL REPLACEMENT, CAMBRIDGE, RECONST, ALL FLAVORS",
"DRDIFDCD","11710000.0","INFANT FORMULA, NFS",
"DRDIFDCD","11710050.0","ALIMENTUM, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710051.0","ALIMENTUM, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710100.0","ENFAMIL, LOW IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710101.0","ENFAMIL, LOW IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710102.0","ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
