"FMTNAME","START","LABEL",
"DRDIFDCD","11541500.0","MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE",
"DRDIFDCD","11541510.0","MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE",
"DRDIFDCD","11542100.0","CARRY-OUT MILK SHAKE, CHOCOLATE",
"DRDIFDCD","11542200.0","CARRY-OUT MILK SHAKE, NOT CHOCOLATE",
"DRDIFDCD","11551050.0","MILK FRUIT DRINK (INCL LICUADO)",
"DRDIFDCD","11552200.0","MILK-BASED FRUIT DRINK (INCL ORANGE JULIUS)",
"DRDIFDCD","11553000.0","FRUIT SMOOTHIE DRINK, W/ FRUIT AND DAIRY PRODUCTS",
"DRDIFDCD","11553100.0","FRUIT SMOOTHIE DRINK, NFS",
"DRDIFDCD","11560000.0","CHOC-FLAVORED DRINK, WHEY-&MILK-BASED(INCL YOO-HOO)",
"DRDIFDCD","11560020.0","MILK DRINK, WHEY&MILK-BASE, NOT CHOC (INCL YOO-HOO)",
"DRDIFDCD","11561010.0","CAFE CON LECHE PREPARED W/ SUGAR",
"DRDIFDCD","11612000.0","INSTANT BREAKFAST, POWDER, MILK ADDED",
"DRDIFDCD","11613000.0","INSTANT BFAST,PWDR,SWT W/ LO CAL SWT, MILK ADDED",
"DRDIFDCD","11623000.0","MEAL SUPPLEMENT / REPLACEMENT,PREPARED,RTD",
"DRDIFDCD","11631000.0","HIGH CALORIE BEV, CANNED OR POWDERED, RECONSTITUTED",
"DRDIFDCD","11641000.0","MEAL REPLACEMENT, MILK BASED, HIGH PROTEIN, LIQUID",
"DRDIFDCD","11710000.0","INFANT FORMULA, NFS",
"DRDIFDCD","11710051.0","ALIMENTUM, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710100.0","ENFAMIL, LOW IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710101.0","ENFAMIL, LOW IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710102.0","ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710103.0","ENFAMIL, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710111.0","GERBER, WITH IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710112.0","GERBER, WITH IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710200.0","SIMILAC, LOW IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710203.0","SIMILAC, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710400.0","SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710401.0","SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710402.0","SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710403.0","SIMILAC W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710451.0","SIMILAC SPECIAL CARE 24, IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710600.0","ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710601.0","ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710602.0","ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710603.0","ENFAMIL W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710710.0","LACTOFREE, W/ IRON, INFANT FORMULA, NS FORM",
"DRDIFDCD","11710713.0","LACTOFREE, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11710801.0","PEDIASURE, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710901.0","CARNATION GOOD START, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710902.0","CARNATION GOOD START,W/IRON,INFANT FORMULA,LIQUID CONCENTRAT",
"DRDIFDCD","11710903.0","CARNATION GOOD START, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11710951.0","CARNATION FOLLOW-UP,W/ IRON,INFANT FORMULA,READY-TO-FEED",
"DRDIFDCD","11710953.0","CARNATION FOLLOW-UP, W/ IRON, INFANT FORMULA, FR POWDER",
"DRDIFDCD","11720300.0","PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720301.0","PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720302.0","PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11720303.0","PROSOBEE, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720400.0","ISOMIL, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720401.0","ISOMIL, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720402.0","ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11720403.0","ISOMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720503.0","SOYALAC, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720601.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720603.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11740301.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11740302.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE",
"DRDIFDCD","11740403.0","PREGESTIMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11810000.0","MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT",
"DRDIFDCD","11811000.0","MILK, DRY, WHOLE, NOT RECONSTITUTED",
"DRDIFDCD","11813000.0","MILK, DRY, NONFAT, NOT RECONSTITUTED",
"DRDIFDCD","11830100.0","COCOA W/DRY MILK & SUGAR, DRY MIX, NOT RECONST",
"DRDIFDCD","11830110.0","COCOA POWDER W/ NFD MILK, LOW CAL SWEETENER, DRY",
"DRDIFDCD","11830150.0","COCOA POWDER, NOT RECONSTITUTED (NO DRY MILK)",
"DRDIFDCD","11830160.0","COCOA-FLAVORED BEVERAGE POWDER W/ SUGAR, DRY MIX",
"DRDIFDCD","11830170.0","COCOA, WHEY, LO CAL SWEETNER MIX, NOT RECONST",
"DRDIFDCD","11830200.0","MILK, MALTED, DRY, UNFORTIFD, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830210.0","MILK, MALTED, DRY, FORTIFD, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830260.0","MILK, MALTED, DRY, FORTIFIED, NOT RECONST, CHOC",
"DRDIFDCD","11830400.0","MILK BEV POWDER, DRY, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830450.0","MILK BEV MIX, W/ SUGAR,EGG WHITE, NOT RECONSTITUTED",
"DRDIFDCD","11830800.0","INSTANT BREAKFAST POWDER, NOT RECONSTITUTED",
"DRDIFDCD","11830900.0","PROTEIN SUPPLEMENT, MILK BASED, DRY POWDER",
"DRDIFDCD","11830940.0","MEAL REPLACEMENT,PROTEIN,MILK BASED,FRUIT JUICE MIX",
"DRDIFDCD","11830970.0","MEAL REPLACEMENT, PROTEIN TYPE, MILK-BASE, POWDER",
"DRDIFDCD","11831500.0","NUTRIENT SUPPLEMENT,MILK-BASE,HIGH PROT,NOT RECONST",
"DRDIFDCD","11832000.0","MEAL REPLACEMENT,MILK-&SOY-BASE,POWDER,NOT RECONST",
"DRDIFDCD","11835100.0","MEAL REPLACEMENT, POSITRIM DRINK MIX, DRY POWDER",
"DRDIFDCD","12100100.0","CREAM, FLUID, NS AS TO LIGHT, HEAVY OR HALF & HALF",
"DRDIFDCD","12110100.0","CREAM, LIGHT, FLUID (INCL COFFEE CRM, TABLE CREAM)",
"DRDIFDCD","12110300.0","CREAM, LIGHT, WHIPPED, UNSWEETENED",
"DRDIFDCD","12120100.0","CREAM, HALF & HALF",
"DRDIFDCD","12130100.0","CREAM, HEAVY, FLUID",
"DRDIFDCD","12140000.0","CREAM, HEAVY, WHIPPED, SWEETENED",
"DRDIFDCD","12140100.0","CREAM, WHIPPED, PRESSURIZED CONTAINER",
"DRDIFDCD","12200100.0","CREAM SUBSTITUTE, NS AS TO FROZEN,LIQUID OR POWDER",
"DRDIFDCD","12210100.0","CREAM SUBSTITUTE, FROZEN",
"DRDIFDCD","12210200.0","CREAM SUBSTITUTE, LIQUID (INCLUDE COFFEE WHITNER)",
"DRDIFDCD","12210250.0","CREAM SUBSTITUTE, LIGHT, LIQUID",
"DRDIFDCD","12210400.0","CREAM SUBSTITUTE, POWDERED",
"DRDIFDCD","12210410.0","CREAM SUBST, LIGHT, POWDERED (INCL COFFEE MATE, CRE",
"DRDIFDCD","12220000.0","WHIPPED TOPPING, NONDAIRY, NS AS TO CND/FRZ/POWDER",
"DRDIFDCD","12220100.0","WHIPPED TOPPING, NONDAIRY, PRESSURIZED CAN",
"DRDIFDCD","12220200.0","WHIPPED TOPPING, NONDAIRY, FROZEN (INCL COOL WHIP)",
"DRDIFDCD","12220250.0","WHIPPED TOPPING, NONDAIRY, FZN, LOWFAT (INCL COOL)",
"DRDIFDCD","12220300.0","WHIPPED CREAM SUBST, NONDAIRY, FROM POWDERED MIX",
"DRDIFDCD","12310100.0","SOUR CREAM (INCL W/ CHIVES)",
"DRDIFDCD","12310300.0","SOUR CREAM, REDUCED FAT",
"DRDIFDCD","12310350.0","SOUR CREAM, LIGHT",
"DRDIFDCD","12310370.0","SOUR CREAM, FAT FREE",
"DRDIFDCD","12320100.0","SOUR CREAM, IMITATION",
"DRDIFDCD","12350000.0","DIP, SOUR CREAM BASE (INCLUDE BUTTERMILK-TYPE DIP)",
"DRDIFDCD","12350020.0","DIP, SOUR CREAM BASE, REDUCED CALORIE",
"DRDIFDCD","12350100.0","SPINACH DIP, SOUR CREAM BASE",
"DRDIFDCD","13110000.0","ICE CREAM, NFS",
"DRDIFDCD","13110100.0","ICE CREAM, REGULAR, NOT CHOCOLATE",
