age,food_group,average_taken,recommended_low,recommended_high
55,protein,930,787.5,975
55,vegetable,277.5,337.5,487.5
55,Fats Oils Salad dressings,22.5,24,33
56,dairy,232.5,435,465
56,fruits,180,262.5,337.5
56,grains,900,825,1275
56,protein,930,787.5,975
56,vegetable,277.5,337.5,487.5
56,Fats Oils Salad dressings,22.5,24,33
57,dairy,232.5,435,465
57,fruits,180,262.5,337.5
57,grains,900,825,1275
57,protein,930,787.5,975
57,vegetable,277.5,337.5,487.5
57,Fats Oils Salad dressings,22.5,24,33
58,dairy,232.5,435,465
58,fruits,180,262.5,337.5
58,grains,900,825,1275
58,protein,930,787.5,975
58,vegetable,277.5,337.5,487.5
58,Fats Oils Salad dressings,22.5,24,33
59,dairy,232.5,435,465
59,fruits,180,262.5,337.5
59,grains,900,825,1275
59,protein,930,787.5,975
59,vegetable,277.5,337.5,487.5
59,Fats Oils Salad dressings,22.5,24,33
60,dairy,232.5,435,465
60,fruits,180,262.5,337.5
60,grains,900,825,1275
60,protein,930,787.5,975
60,vegetable,277.5,337.5,487.5
60,Fats Oils Salad dressings,22.5,24,33
61,dairy,232.5,435,465
61,fruits,180,262.5,337.5
61,grains,900,825,1275
61,protein,930,787.5,975
61,vegetable,277.5,337.5,487.5
61,Fats Oils Salad dressings,22.5,24,33
62,dairy,232.5,435,465
62,fruits,180,262.5,337.5
62,grains,900,825,1275
62,protein,930,787.5,975
62,vegetable,277.5,337.5,487.5
62,Fats Oils Salad dressings,22.5,24,33
63,dairy,232.5,435,465
63,fruits,180,262.5,337.5
63,grains,900,825,1275
63,protein,930,787.5,975
63,vegetable,277.5,337.5,487.5
63,Fats Oils Salad dressings,22.5,24,33
64,dairy,232.5,435,465
64,fruits,180,262.5,337.5
64,grains,900,825,1275
64,protein,930,787.5,975
64,vegetable,277.5,337.5,487.5
64,Fats Oils Salad dressings,22.5,24,33
65,dairy,232.5,435,465
65,fruits,180,262.5,337.5
65,grains,900,825,1275
65,protein,930,787.5,975
65,vegetable,277.5,337.5,487.5
65,Fats Oils Salad dressings,22.5,24,33
66,dairy,232.5,435,465
66,fruits,180,262.5,337.5
66,grains,900,825,1275
66,protein,930,787.5,975
66,vegetable,277.5,337.5,487.5
66,Fats Oils Salad dressings,22.5,24,33
67,dairy,232.5,435,465
67,fruits,180,262.5,337.5
67,grains,900,825,1275
67,protein,930,787.5,975
67,vegetable,277.5,337.5,487.5
67,Fats Oils Salad dressings,22.5,24,33
68,dairy,232.5,435,465
68,fruits,180,262.5,337.5
68,grains,900,825,1275
68,protein,930,787.5,975
68,vegetable,277.5,337.5,487.5
68,Fats Oils Salad dressings,22.5,24,33
69,dairy,232.5,435,465
69,fruits,180,262.5,337.5
69,grains,900,825,1275
69,protein,930,787.5,975
69,vegetable,277.5,337.5,487.5
69,Fats Oils Salad dressings,22.5,24,33
70,dairy,232.5,435,465
70,fruits,180,262.5,337.5
70,grains,900,825,1275
70,protein,930,787.5,975
70,vegetable,277.5,337.5,487.5
70,Fats Oils Salad dressings,22.5,24,33
71,dairy,217.5,435,465
71,fruits,202.5,262.5,337.5
71,grains,817.5,825,1275
71,protein,750,787.5,975
71,vegetable,240,337.5,487.5
71,Fats Oils Salad dressings,18,24,33
72,dairy,217.5,435,465
72,fruits,202.5,262.5,337.5
72,grains,817.5,825,1275
72,protein,750,787.5,975
72,vegetable,240,337.5,487.5
72,Fats Oils Salad dressings,18,24,33
73,dairy,217.5,435,465
73,fruits,202.5,262.5,337.5
73,grains,817.5,825,1275
73,protein,750,787.5,975
73,vegetable,240,337.5,487.5
73,Fats Oils Salad dressings,18,24,33
74,dairy,217.5,435,465
74,fruits,202.5,262.5,337.5
74,grains,817.5,825,1275
74,protein,750,787.5,975
74,vegetable,240,337.5,487.5
74,Fats Oils Salad dressings,18,24,33
75,dairy,217.5,435,465
75,fruits,202.5,262.5,337.5
75,grains,817.5,825,1275
75,protein,750,787.5,975
75,vegetable,240,337.5,487.5
75,Fats Oils Salad dressings,18,24,33
76,dairy,217.5,435,465
76,fruits,202.5,262.5,337.5
76,grains,817.5,825,1275
76,protein,750,787.5,975
76,vegetable,240,337.5,487.5
76,Fats Oils Salad dressings,18,24,33
77,dairy,217.5,435,465
77,fruits,202.5,262.5,337.5
77,grains,817.5,825,1275
77,protein,750,787.5,975
77,vegetable,240,337.5,487.5
77,Fats Oils Salad dressings,18,24,33
78,dairy,217.5,435,465
78,fruits,202.5,262.5,337.5
78,grains,817.5,825,1275
78,protein,750,787.5,975
78,vegetable,240,337.5,487.5
78,Fats Oils Salad dressings,18,24,33
79,dairy,217.5,435,465
79,fruits,202.5,262.5,337.5
79,grains,817.5,825,1275
79,protein,750,787.5,975
79,vegetable,240,337.5,487.5
79,Fats Oils Salad dressings,18,24,33
80,dairy,217.5,435,465
80,fruits,202.5,262.5,337.5
80,grains,817.5,825,1275
80,protein,750,787.5,975
80,vegetable,240,337.5,487.5
80,Fats Oils Salad dressings,18,24,33
81,dairy,217.5,435,465
81,fruits,202.5,262.5,337.5
81,grains,817.5,825,1275
81,protein,750,787.5,975
81,vegetable,240,337.5,487.5
81,Fats Oils Salad dressings,18,24,33
82,dairy,217.5,435,465
82,fruits,202.5,262.5,337.5
82,grains,817.5,825,1275
82,protein,750,787.5,975
82,vegetable,240,337.5,487.5
82,Fats Oils Salad dressings,18,24,33
83,dairy,217.5,435,465
83,fruits,202.5,262.5,337.5
83,grains,817.5,825,1275
83,protein,750,787.5,975
83,vegetable,240,337.5,487.5
83,Fats Oils Salad dressings,18,24,33
84,dairy,217.5,435,465
84,fruits,202.5,262.5,337.5
84,grains,817.5,825,1275
84,protein,750,787.5,975
84,vegetable,240,337.5,487.5
84,Fats Oils Salad dressings,18,24,33
85,dairy,217.5,435,465
85,fruits,202.5,262.5,337.5
85,grains,817.5,825,1275
85,protein,750,787.5,975
85,vegetable,240,337.5,487.5
85,Fats Oils Salad dressings,18,24,33
86,dairy,217.5,435,465
86,fruits,202.5,262.5,337.5
86,grains,817.5,825,1275
86,protein,750,787.5,975
86,vegetable,240,337.5,487.5
86,Fats Oils Salad dressings,18,24,33
87,dairy,217.5,435,465
87,fruits,202.5,262.5,337.5
87,grains,817.5,825,1275
87,protein,750,787.5,975
87,vegetable,240,337.5,487.5
87,Fats Oils Salad dressings,18,24,33
88,dairy,217.5,435,465
88,fruits,202.5,262.5,337.5
88,grains,817.5,825,1275
88,protein,750,787.5,975
88,vegetable,240,337.5,487.5
88,Fats Oils Salad dressings,18,24,33
89,dairy,217.5,435,465
89,fruits,202.5,262.5,337.5
89,grains,817.5,825,1275
89,protein,750,787.5,975
89,vegetable,240,337.5,487.5
89,Fats Oils Salad dressings,18,24,33
90,dairy,217.5,435,465
90,fruits,202.5,262.5,337.5
90,grains,817.5,825,1275
90,protein,750,787.5,975
90,vegetable,240,337.5,487.5
90,Fats Oils Salad dressings,18,24,33
91,dairy,217.5,435,465
91,fruits,202.5,262.5,337.5
91,grains,817.5,825,1275
91,protein,750,787.5,975
91,vegetable,240,337.5,487.5
91,Fats Oils Salad dressings,18,24,33
92,dairy,217.5,435,465
92,fruits,202.5,262.5,337.5
92,grains,817.5,825,1275
92,protein,750,787.5,975
92,vegetable,240,337.5,487.5
92,Fats Oils Salad dressings,18,24,33
93,dairy,217.5,435,465
93,fruits,202.5,262.5,337.5
93,grains,817.5,825,1275
93,protein,750,787.5,975
93,vegetable,240,337.5,487.5
93,Fats Oils Salad dressings,18,24,33
94,dairy,217.5,435,465
94,fruits,202.5,262.5,337.5
94,grains,817.5,825,1275
94,protein,750,787.5,975
94,vegetable,240,337.5,487.5
94,Fats Oils Salad dressings,18,24,33
95,dairy,217.5,435,465
95,fruits,202.5,262.5,337.5
95,grains,817.5,825,1275
95,protein,750,787.5,975
95,vegetable,240,337.5,487.5
95,Fats Oils Salad dressings,18,24,33
96,dairy,217.5,435,465
96,fruits,202.5,262.5,337.5
96,grains,817.5,825,1275
96,protein,750,787.5,975
96,vegetable,240,337.5,487.5
96,Fats Oils Salad dressings,18,24,33
97,dairy,217.5,435,465
97,fruits,202.5,262.5,337.5
97,grains,817.5,825,1275
97,protein,750,787.5,975
97,vegetable,240,337.5,487.5
97,Fats Oils Salad dressings,18,24,33
98,dairy,217.5,435,465
98,fruits,202.5,262.5,337.5
98,grains,817.5,825,1275
98,protein,750,787.5,975
98,vegetable,240,337.5,487.5
98,Fats Oils Salad dressings,18,24,33
99,dairy,217.5,435,465
99,fruits,202.5,262.5,337.5
99,grains,817.5,825,1275
99,protein,750,787.5,975
99,vegetable,240,337.5,487.5
99,Fats Oils Salad dressings,18,24,33
100,dairy,217.5,435,465
100,fruits,202.5,262.5,337.5
100,grains,817.5,825,1275
100,protein,750,787.5,975
100,vegetable,240,337.5,487.5
100,Fats Oils Salad dressings,18,24,33
101,dairy,217.5,435,465
101,fruits,202.5,262.5,337.5
101,grains,817.5,825,1275
101,protein,750,787.5,975
101,vegetable,240,337.5,487.5
101,Fats Oils Salad dressings,18,24,33
102,dairy,217.5,435,465
102,fruits,202.5,262.5,337.5
102,grains,817.5,825,1275
102,protein,750,787.5,975
102,vegetable,240,337.5,487.5
102,Fats Oils Salad dressings,18,24,33
103,dairy,217.5,435,465
103,fruits,202.5,262.5,337.5
103,grains,817.5,825,1275
103,protein,750,787.5,975
103,vegetable,240,337.5,487.5
103,Fats Oils Salad dressings,18,24,33
104,dairy,217.5,435,465
104,fruits,202.5,262.5,337.5
104,grains,817.5,825,1275
104,protein,750,787.5,975
104,vegetable,240,337.5,487.5
104,Fats Oils Salad dressings,18,24,33
105,dairy,217.5,435,465
105,fruits,202.5,262.5,337.5
105,grains,817.5,825,1275
105,protein,750,787.5,975
105,vegetable,240,337.5,487.5
105,Fats Oils Salad dressings,18,24,33
106,dairy,217.5,435,465
106,fruits,202.5,262.5,337.5
106,grains,817.5,825,1275
106,protein,750,787.5,975
106,vegetable,240,337.5,487.5
106,Fats Oils Salad dressings,18,24,33
107,dairy,217.5,435,465
107,fruits,202.5,262.5,337.5
107,grains,817.5,825,1275
