age,subgroup,average_taken,recommended_low,recommended_high
47,seafood,675,1275,1425
48,dark green vegetables,135,262.5,337.5
48,legumes beans and peas,135,262.5,375
48,meat poultry and eggs,5475,3975,4725
48,nuts seeds and soy products,825,675,825
48,other vegetables,615,675,900
48,red and orange vegetables,442.5,862.5,1012.5
48,seafood,2475,900,1500
48,seafood,675,1275,1425
48,starchy vegetables,495,825,1050
48,seafood,2475,900,1500
48,seafood,675,1275,1425
48,seafood,675,1275,1425
49,dark green vegetables,135,262.5,337.5
49,legumes beans and peas,135,262.5,375
49,meat poultry and eggs,5475,3975,4725
49,nuts seeds and soy products,825,675,825
49,other vegetables,615,675,900
49,red and orange vegetables,442.5,862.5,1012.5
49,seafood,2475,900,1500
49,seafood,675,1275,1425
49,starchy vegetables,495,825,1050
49,seafood,2475,900,1500
49,seafood,675,1275,1425
49,seafood,675,1275,1425
50,dark green vegetables,135,262.5,337.5
50,legumes beans and peas,135,262.5,375
50,meat poultry and eggs,5475,3975,4725
50,nuts seeds and soy products,825,675,825
50,other vegetables,615,675,900
50,red and orange vegetables,442.5,862.5,1012.5
50,seafood,2475,900,1500
50,seafood,675,1275,1425
50,starchy vegetables,495,825,1050
50,seafood,2475,900,1500
50,seafood,675,1275,1425
50,seafood,675,1275,1425
51,dark green vegetables,180,225,337.5
51,legumes beans and peas,105,187.5,337.5
51,meat poultry and eggs,4950,3750,4725
51,nuts seeds and soy products,825,675,825
51,other vegetables,697.5,562.5,787.5
51,red and orange vegetables,435,712.5,975
51,seafood,2475,900,1500
51,seafood,675,1200,1425
51,starchy vegetables,510,675,975
51,seafood,2475,900,1500
51,seafood,675,1200,1425
51,seafood,675,1200,1425
52,dark green vegetables,180,225,337.5
52,legumes beans and peas,105,187.5,337.5
52,meat poultry and eggs,4950,3750,4725
52,nuts seeds and soy products,825,675,825
52,other vegetables,697.5,562.5,787.5
52,red and orange vegetables,435,712.5,975
52,seafood,2475,900,1500
52,seafood,675,1200,1425
52,starchy vegetables,510,675,975
52,seafood,2475,900,1500
52,seafood,675,1200,1425
52,seafood,675,1200,1425
53,dark green vegetables,180,225,337.5
53,legumes beans and peas,105,187.5,337.5
53,meat poultry and eggs,4950,3750,4725
53,nuts seeds and soy products,825,675,825
53,other vegetables,697.5,562.5,787.5
53,red and orange vegetables,435,712.5,975
53,seafood,2475,900,1500
53,seafood,675,1200,1425
53,starchy vegetables,510,675,975
53,seafood,2475,900,1500
53,seafood,675,1200,1425
53,seafood,675,1200,1425
54,dark green vegetables,180,225,337.5
54,legumes beans and peas,105,187.5,337.5
54,meat poultry and eggs,4950,3750,4725
54,nuts seeds and soy products,825,675,825
54,other vegetables,697.5,562.5,787.5
54,red and orange vegetables,435,712.5,975
54,seafood,2475,900,1500
54,seafood,675,1200,1425
54,starchy vegetables,510,675,975
54,seafood,2475,900,1500
54,seafood,675,1200,1425
54,seafood,675,1200,1425
55,dark green vegetables,180,225,337.5
55,legumes beans and peas,105,187.5,337.5
55,meat poultry and eggs,4950,3750,4725
55,nuts seeds and soy products,825,675,825
55,other vegetables,697.5,562.5,787.5
55,red and orange vegetables,435,712.5,975
55,seafood,2475,900,1500
55,seafood,675,1200,1425
55,starchy vegetables,510,675,975
55,seafood,2475,900,1500
55,seafood,675,1200,1425
55,seafood,675,1200,1425
56,dark green vegetables,180,225,337.5
56,legumes beans and peas,105,187.5,337.5
56,meat poultry and eggs,4950,3750,4725
56,nuts seeds and soy products,825,675,825
56,other vegetables,697.5,562.5,787.5
56,red and orange vegetables,435,712.5,975
56,seafood,2475,900,1500
56,seafood,675,1200,1425
56,starchy vegetables,510,675,975
56,seafood,2475,900,1500
56,seafood,675,1200,1425
56,seafood,675,1200,1425
57,dark green vegetables,180,225,337.5
57,legumes beans and peas,105,187.5,337.5
57,meat poultry and eggs,4950,3750,4725
57,nuts seeds and soy products,825,675,825
57,other vegetables,697.5,562.5,787.5
57,red and orange vegetables,435,712.5,975
57,seafood,2475,900,1500
57,seafood,675,1200,1425
57,starchy vegetables,510,675,975
57,seafood,2475,900,1500
57,seafood,675,1200,1425
57,seafood,675,1200,1425
58,dark green vegetables,180,225,337.5
58,legumes beans and peas,105,187.5,337.5
58,meat poultry and eggs,4950,3750,4725
58,nuts seeds and soy products,825,675,825
58,other vegetables,697.5,562.5,787.5
58,red and orange vegetables,435,712.5,975
58,seafood,2475,900,1500
58,seafood,675,1200,1425
58,starchy vegetables,510,675,975
58,seafood,2475,900,1500
58,seafood,675,1200,1425
58,seafood,675,1200,1425
59,dark green vegetables,180,225,337.5
59,legumes beans and peas,105,187.5,337.5
59,meat poultry and eggs,4950,3750,4725
59,nuts seeds and soy products,825,675,825
59,other vegetables,697.5,562.5,787.5
59,red and orange vegetables,435,712.5,975
59,seafood,2475,900,1500
59,seafood,675,1200,1425
59,starchy vegetables,510,675,975
59,seafood,2475,900,1500
59,seafood,675,1200,1425
59,seafood,675,1200,1425
60,dark green vegetables,180,225,337.5
60,legumes beans and peas,105,187.5,337.5
60,meat poultry and eggs,4950,3750,4725
60,nuts seeds and soy products,825,675,825
60,other vegetables,697.5,562.5,787.5
60,red and orange vegetables,435,712.5,975
60,seafood,2475,900,1500
60,seafood,675,1200,1425
60,starchy vegetables,510,675,975
60,seafood,2475,900,1500
60,seafood,675,1200,1425
60,seafood,675,1200,1425
61,dark green vegetables,180,225,337.5
61,legumes beans and peas,105,187.5,337.5
61,meat poultry and eggs,4950,3750,4725
61,nuts seeds and soy products,825,675,825
61,other vegetables,697.5,562.5,787.5
61,red and orange vegetables,435,712.5,975
61,seafood,2475,900,1500
61,seafood,675,1200,1425
61,starchy vegetables,510,675,975
61,seafood,2475,900,1500
61,seafood,675,1200,1425
61,seafood,675,1200,1425
62,dark green vegetables,180,225,337.5
62,legumes beans and peas,105,187.5,337.5
62,meat poultry and eggs,4950,3750,4725
62,nuts seeds and soy products,825,675,825
62,other vegetables,697.5,562.5,787.5
62,red and orange vegetables,435,712.5,975
62,seafood,2475,900,1500
62,seafood,675,1200,1425
62,starchy vegetables,510,675,975
62,seafood,2475,900,1500
62,seafood,675,1200,1425
62,seafood,675,1200,1425
63,dark green vegetables,180,225,337.5
63,legumes beans and peas,105,187.5,337.5
63,meat poultry and eggs,4950,3750,4725
63,nuts seeds and soy products,825,675,825
63,other vegetables,697.5,562.5,787.5
63,red and orange vegetables,435,712.5,975
63,seafood,2475,900,1500
63,seafood,675,1200,1425
63,starchy vegetables,510,675,975
63,seafood,2475,900,1500
63,seafood,675,1200,1425
63,seafood,675,1200,1425
64,dark green vegetables,180,225,337.5
64,legumes beans and peas,105,187.5,337.5
64,meat poultry and eggs,4950,3750,4725
64,nuts seeds and soy products,825,675,825
64,other vegetables,697.5,562.5,787.5
64,red and orange vegetables,435,712.5,975
64,seafood,2475,900,1500
64,seafood,675,1200,1425
64,starchy vegetables,510,675,975
64,seafood,2475,900,1500
64,seafood,675,1200,1425
64,seafood,675,1200,1425
65,dark green vegetables,180,225,337.5
65,legumes beans and peas,105,187.5,337.5
65,meat poultry and eggs,4950,3750,4725
65,nuts seeds and soy products,825,675,825
65,other vegetables,697.5,562.5,787.5
65,red and orange vegetables,435,712.5,975
65,seafood,2475,900,1500
65,seafood,675,1200,1425
65,starchy vegetables,510,675,975
65,seafood,2475,900,1500
65,seafood,675,1200,1425
65,seafood,675,1200,1425
66,dark green vegetables,180,225,337.5
66,legumes beans and peas,105,187.5,337.5
66,meat poultry and eggs,4950,3750,4725
66,nuts seeds and soy products,825,675,825
66,other vegetables,697.5,562.5,787.5
66,red and orange vegetables,435,712.5,975
66,seafood,2475,900,1500
66,seafood,675,1200,1425
66,starchy vegetables,510,675,975
66,seafood,2475,900,1500
66,seafood,675,1200,1425
66,seafood,675,1200,1425
67,dark green vegetables,180,225,337.5
67,legumes beans and peas,105,187.5,337.5
67,meat poultry and eggs,4950,3750,4725
67,nuts seeds and soy products,825,675,825
67,other vegetables,697.5,562.5,787.5
67,red and orange vegetables,435,712.5,975
67,seafood,2475,900,1500
67,seafood,675,1200,1425
67,starchy vegetables,510,675,975
67,seafood,2475,900,1500
67,seafood,675,1200,1425
67,seafood,675,1200,1425
68,dark green vegetables,180,225,337.5
68,legumes beans and peas,105,187.5,337.5
68,meat poultry and eggs,4950,3750,4725
68,nuts seeds and soy products,825,675,825
68,other vegetables,697.5,562.5,787.5
68,red and orange vegetables,435,712.5,975
68,seafood,2475,900,1500
68,seafood,675,1200,1425
68,starchy vegetables,510,675,975
68,seafood,2475,900,1500
68,seafood,675,1200,1425
68,seafood,675,1200,1425
69,dark green vegetables,180,225,337.5
69,legumes beans and peas,105,187.5,337.5
69,meat poultry and eggs,4950,3750,4725
69,nuts seeds and soy products,825,675,825
69,other vegetables,697.5,562.5,787.5
69,red and orange vegetables,435,712.5,975
69,seafood,2475,900,1500
69,seafood,675,1200,1425
69,starchy vegetables,510,675,975
69,seafood,2475,900,1500
69,seafood,675,1200,1425
69,seafood,675,1200,1425
70,dark green vegetables,180,225,337.5
70,legumes beans and peas,105,187.5,337.5
70,meat poultry and eggs,4950,3750,4725
70,nuts seeds and soy products,825,675,825
70,other vegetables,697.5,562.5,787.5
70,red and orange vegetables,435,712.5,975
70,seafood,2475,900,1500
70,seafood,675,1200,1425
70,starchy vegetables,510,675,975
70,seafood,2475,900,1500
70,seafood,675,1200,1425
70,seafood,675,1200,1425
71,dark green vegetables,127.5,225,337.5
71,legumes beans and peas,97.5,187.5,337.5
71,meat poultry and eggs,4050,3750,4725
71,nuts seeds and soy products,825,675,825
71,other vegetables,562.5,562.5,787.5
71,red and orange vegetables,405,712.5,975
71,seafood,2475,900,1500
71,seafood,600,1200,1425
71,starchy vegetables,502.5,675,975
71,seafood,2475,900,1500
71,seafood,600,1200,1425
71,seafood,600,1200,1425
72,dark green vegetables,127.5,225,337.5
72,legumes beans and peas,97.5,187.5,337.5
72,meat poultry and eggs,4050,3750,4725
72,nuts seeds and soy products,825,675,825
72,other vegetables,562.5,562.5,787.5
72,red and orange vegetables,405,712.5,975
72,seafood,2475,900,1500
72,seafood,600,1200,1425
72,starchy vegetables,502.5,675,975
72,seafood,2475,900,1500
72,seafood,600,1200,1425
72,seafood,600,1200,1425
73,dark green vegetables,127.5,225,337.5
73,legumes beans and peas,97.5,187.5,337.5
73,meat poultry and eggs,4050,3750,4725
73,nuts seeds and soy products,825,675,825
73,other vegetables,562.5,562.5,787.5
73,red and orange vegetables,405,712.5,975
73,seafood,2475,900,1500
